index,G1,G2,G3,G4,G5,G6,G7
2015-08-18,16.1,17.599999999999998,18.15,16.333333333333332,16.7,21.366666666666664,19.78
2015-08-19,14.2,11.966666666666667,14.024999999999999,14.533333333333333,11.425,19.366666666666664,15.559999999999999
2015-08-20,14.3,11.4,14.075000000000001,13.866666666666667,11.4,17.8,15.26
2015-08-21,16.3,14.566666666666668,16.9,16.8,13.375,17.400000000000002,16.5
2015-08-22,17.95,16.86666666666667,18.225,19.4,16.225,19.633333333333333,17.46
2015-08-23,12.55,14.033333333333333,14.375,15.333333333333334,14.875,19.1,17.72
2015-08-24,11.100000000000001,10.266666666666666,11.524999999999999,12.233333333333333,12.675,16.666666666666668,15.339999999999998
2015-08-25,15.05,14.299999999999999,15.725,16.6,13.225000000000001,16.666666666666668,15.76
2015-08-26,17.3,15.533333333333333,16.7,18.066666666666666,15.200000000000001,18.933333333333334,18.9
2015-08-27,15.1,13.299999999999999,15.45,16.233333333333334,13.05,19.266666666666666,16.22
2015-08-28,14.350000000000001,12.666666666666666,14.95,17.0,12.549999999999999,16.766666666666666,16.380000000000003
2015-08-29,19.1,16.933333333333334,19.174999999999997,19.333333333333332,16.2,18.533333333333335,17.439999999999998
2015-08-30,19.15,19.766666666666666,21.825,22.133333333333336,19.075000000000003,19.933333333333334,20.04
2015-08-31,20.2,21.566666666666666,23.275,25.666666666666668,20.75,20.96666666666667,21.68
2015-09-01,12.0,12.833333333333334,14.85,16.53333333333333,14.9,18.933333333333334,21.96
2015-09-02,13.100000000000001,12.433333333333332,14.424999999999999,16.13333333333333,11.525,15.799999999999999,18.02
2015-09-03,13.75,14.1,15.225000000000001,15.933333333333332,13.274999999999999,16.96666666666667,18.8
2015-09-04,12.05,12.9,14.299999999999999,14.533333333333333,12.775,17.166666666666668,17.96
2015-09-05,12.05,12.333333333333334,13.75,13.9,13.149999999999999,17.233333333333334,17.259999999999998
2015-09-06,13.350000000000001,11.533333333333333,13.625,13.566666666666668,12.25,17.03333333333333,16.52
2015-09-07,15.649999999999999,13.866666666666667,15.2,16.46666666666667,14.225,17.933333333333334,19.32
2015-09-08,14.95,14.433333333333332,15.899999999999999,16.8,14.399999999999999,18.933333333333334,16.36
2015-09-09,14.9,14.533333333333333,17.025,18.133333333333333,14.25,18.7,17.4
2015-09-10,11.15,15.066666666666668,14.2,16.133333333333333,14.325,20.099999999999998,16.1
2015-09-11,8.2,8.0,9.725,10.466666666666667,7.825,16.0,15.34
2015-09-12,9.4,6.2,9.125,10.799999999999999,6.575,13.299999999999999,12.459999999999999
2015-09-13,12.75,9.433333333333334,13.200000000000001,14.9,8.9,15.233333333333334,13.5
2015-09-14,16.05,12.633333333333335,16.2,16.2,11.2,17.2,15.5
2015-09-15,18.75,16.566666666666666,20.125,21.166666666666668,15.85,19.333333333333332,19.940000000000005
2015-09-16,13.5,19.333333333333332,16.875,21.0,21.45,21.76666666666667,24.82
2015-09-17,12.85,18.366666666666667,14.95,18.8,21.125,20.7,25.74
2015-09-18,13.95,16.900000000000002,15.45,19.266666666666666,19.875,21.400000000000002,25.919999999999998
2015-09-19,15.35,17.333333333333332,15.675,18.366666666666664,17.9,21.400000000000002,25.4
2015-09-20,16.05,16.933333333333334,16.325000000000003,19.233333333333334,17.325000000000003,21.133333333333333,24.380000000000003
2015-09-21,16.45,19.900000000000002,18.7,23.46666666666667,20.75,21.3,24.2
2015-09-22,17.200000000000003,19.3,19.375,23.399999999999995,21.025,21.86666666666667,24.179999999999996
2015-09-23,18.6,23.900000000000002,19.950000000000003,25.8,23.05,22.233333333333334,25.32
2015-09-24,17.45,21.900000000000002,20.450000000000003,21.0,22.599999999999998,23.099999999999998,26.139999999999997
2015-09-25,15.7,17.166666666666668,17.700000000000003,18.166666666666668,17.925,21.033333333333335,22.380000000000003
2015-09-26,16.9,15.200000000000001,16.924999999999997,17.099999999999998,14.974999999999998,18.433333333333334,19.380000000000003
2015-09-27,14.9,14.533333333333333,16.825,17.333333333333332,14.975,19.066666666666666,19.8
2015-09-28,16.200000000000003,13.833333333333334,16.650000000000002,17.9,13.825,19.0,19.3
2015-09-29,15.85,17.333333333333332,17.450000000000003,19.53333333333333,16.575000000000003,19.5,19.86
2015-09-30,12.5,15.333333333333334,15.175,18.066666666666666,16.849999999999998,18.7,18.040000000000003
2015-10-01,14.95,18.099999999999998,17.525,22.03333333333333,17.3,19.03333333333333,20.4
2015-10-02,16.95,18.333333333333332,18.674999999999997,19.033333333333335,17.575000000000003,21.133333333333333,22.919999999999998
2015-10-03,11.3,12.533333333333331,12.774999999999999,13.199999999999998,15.049999999999999,17.866666666666667,19.52
2015-10-04,12.25,12.1,12.9,14.800000000000002,14.825000000000001,16.53333333333333,21.119999999999997
2015-10-05,14.55,15.066666666666668,15.65,19.933333333333334,15.575,17.266666666666666,20.8
2015-10-06,18.8,17.7,21.449999999999996,25.133333333333336,17.15,18.2,20.380000000000003
2015-10-07,18.0,18.166666666666668,19.799999999999997,22.333333333333332,19.425,20.8,23.8
2015-10-08,16.15,15.899999999999999,17.7,18.466666666666665,16.625,20.633333333333333,25.020000000000003
2015-10-09,14.2,15.166666666666666,14.649999999999999,15.066666666666668,15.775,20.366666666666667,20.04
